onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
96.64	n/a	48320	contrastChangeB2_start	95	n/a
106.862	n/a	53431	contrastTrial_start	5	n/a
109.686	n/a	54843	right_target	9	n/a
111.118	n/a	55559	right_buttonPress	13	smiley_face
112.116	n/a	56058	contrastTrial_start	5	n/a
114.916	n/a	57458	left_target	8	n/a
116.248	n/a	58124	left_buttonPress	12	smiley_face
117.316	n/a	58658	contrastTrial_start	5	n/a
123.316	n/a	61658	right_target	9	n/a
124.276	n/a	62138	right_buttonPress	13	smiley_face
125.716	n/a	62858	contrastTrial_start	5	n/a
131.716	n/a	65858	left_target	8	n/a
132.926	n/a	66463	left_buttonPress	12	smiley_face
134.116	n/a	67058	contrastTrial_start	5	n/a
140.116	n/a	70058	right_target	9	n/a
141.376	n/a	70688	right_buttonPress	13	smiley_face
142.516	n/a	71258	contrastTrial_start	5	n/a
148.516	n/a	74258	left_target	8	n/a
149.596	n/a	74798	left_buttonPress	12	smiley_face
150.916	n/a	75458	contrastTrial_start	5	n/a
155.316	n/a	77658	left_target	8	n/a
157.718	n/a	78859	contrastTrial_start	5	n/a
160.516	n/a	80258	right_target	9	n/a
161.796	n/a	80898	right_buttonPress	13	smiley_face
162.918	n/a	81459	contrastTrial_start	5	n/a
168.916	n/a	84458	right_target	9	n/a
170.226	n/a	85113	right_buttonPress	13	smiley_face
171.316	n/a	85658	contrastTrial_start	5	n/a
175.718	n/a	87859	right_target	9	n/a
177.128	n/a	88564	right_buttonPress	13	smiley_face
178.116	n/a	89058	contrastTrial_start	5	n/a
182.516	n/a	91258	right_target	9	n/a
183.776	n/a	91888	right_buttonPress	13	smiley_face
184.916	n/a	92458	contrastTrial_start	5	n/a
187.716	n/a	93858	right_target	9	n/a
188.888	n/a	94444	right_buttonPress	13	smiley_face
190.116	n/a	95058	contrastTrial_start	5	n/a
194.516	n/a	97258	left_target	8	n/a
195.516	n/a	97758	left_buttonPress	12	smiley_face
196.916	n/a	98458	contrastTrial_start	5	n/a
201.316	n/a	100658	right_target	9	n/a
202.446	n/a	101223	right_buttonPress	13	smiley_face
203.718	n/a	101859	contrastTrial_start	5	n/a
209.716	n/a	104858	right_target	9	n/a
211.416	n/a	105708	right_buttonPress	13	smiley_face
212.116	n/a	106058	contrastTrial_start	5	n/a
216.516	n/a	108258	right_target	9	n/a
218.076	n/a	109038	right_buttonPress	13	smiley_face
218.916	n/a	109458	contrastTrial_start	5	n/a
221.716	n/a	110858	right_target	9	n/a
223.176	n/a	111588	right_buttonPress	13	smiley_face
224.116	n/a	112058	contrastTrial_start	5	n/a
226.918	n/a	113459	left_target	8	n/a
228.928	n/a	114464	left_buttonPress	12	smiley_face
229.316	n/a	114658	contrastTrial_start	5	n/a
232.116	n/a	116058	left_target	8	n/a
234.216	n/a	117108	right_buttonPress	13	sad_face
234.516	n/a	117258	contrastTrial_start	5	n/a
238.916	n/a	119458	left_target	8	n/a
239.958	n/a	119979	left_buttonPress	12	smiley_face
241.316	n/a	120658	contrastTrial_start	5	n/a
244.116	n/a	122058	left_target	8	n/a
245.758	n/a	122879	left_buttonPress	12	smiley_face
246.516	n/a	123258	contrastTrial_start	5	n/a
250.916	n/a	125458	left_target	8	n/a
252.306	n/a	126153	left_buttonPress	12	smiley_face
253.318	n/a	126659	contrastTrial_start	5	n/a
259.316	n/a	129658	left_target	8	n/a
260.596	n/a	130298	left_buttonPress	12	smiley_face
261.716	n/a	130858	contrastTrial_start	5	n/a
267.716	n/a	133858	left_target	8	n/a
268.856	n/a	134428	left_buttonPress	12	smiley_face
270.118	n/a	135059	contrastTrial_start	5	n/a
276.508	n/a	138254	break cnt	break cnt	n/a
307.658	n/a	153829	9999	9999	n/a
